Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
A1BG_Alpha-1B-glycoprotein,2.7573,26.2065,3.0592,5.0151,8.3477,8.7035,4.231,3.6025,2.4066,7.1477,7.5099,0.0886,0.5237,2.0051,3.7275,4.2877,4.5849,5.3392,1.9198,3.3386,4.8792,10.73,2.9245,4.3135,2.8959,3.815,3.0465,2.8632,1.9802,3.9151,2.8242,3.855,1.9838,0.0719,6.2201,4.1988,4.1977,3.4003,9.3869,7.1991,17.5074,65.2861,2.4467,3.2921,3.6595,19.8646,5.4337,4.8068,3.2961,16.0372,7.7146,5.4721,10.5233,14.6245
A2M_Alpha-2-macroglobulin,40.6526,182.6879,15.2933,31.9727,43.7088,106.4371,47.3527,88.4721,15.585,63.5736,54.1538,0.0094,0.9826,3.2699,31.1682,15.8752,94.4334,22.7286,6.4649,21.3187,27.6343,39.5368,11.0471,14.6294,18.3227,29.2544,17.0805,21.0305,9.9612,29.2581,11.7544,23.5982,20.0335,0.0717,42.8251,24.639,29.2491,20.3901,23.0263,76.0292,94.5849,377.8514,15.7353,10.4249,15.93,137.2711,27.5482,31.2866,11.4262,104.3827,54.9435,59.314,64.2699,86.1409
AAAS_Aladin,2.2688,1.8047,2.064,1.7269,0.6669,1.7865,2.1157,2.3233,1.4165,1.797,0.5123,0.0354,0.0084,2.3858,1.3474,1.6253,2.1214,1.9601,3.1007,2.5036,2.3203,1.6155,2.3531,2.2984,2.9929,2.112,2.6412,4.1177,3.1558,2.2235,1.6792,2.3641,0.6711,0.1031,3.7162,1.6731,2.9209,2.3042,2.7122,3.241,2.8289,1.3646,1.9452,2.5338,1.8081,2.1251,3.505,1.9398,4.5186,3.291,2.9889,2.2791,2.6498,0.8119
AACS_Acetoacetyl-CoA synthetase,10.0667,22.4238,3.6124,4.2705,10.2889,9.0488,10.4531,6.7097,5.7373,9.179,5.6137,0.1856,0.7199,5.7113,10.1161,10.0953,5.2423,11.0401,4.754,7.2038,4.3757,8.9125,5.5354,9.346,4.7336,5.4814,5.484,9.023,6.6836,6.8841,8.2187,7.1578,2.1506,0.0017,13.5674,11.1538,13.9769,10.7206,14.5253,8.8467,9.886,7.5149,5.0533,7.3093,8.3698,6.5945,7.9505,5.1756,8.8065,13.7192,13.4065,9.4418,9.7788,3.0498
AAGAB_Alpha- and gamma-adaptin-binding protein p34,2.0989,2.2239,0.7298,0.3699,1.0843,0.8564,1.0885,0.8224,0.7076,1.1091,0.6345,0.0185,0.2643,1.0264,0.9717,0.7402,0.7374,0.7397,0.3667,1.2116,0,0.6659,0.3244,0.6235,0.5909,0.4626,0.4112,0.8506,1.0053,0.8423,0,0.6428,0.3356,0.1945,0.5855,1.0902,1.0233,0.7804,1.064,0.8888,1.4019,0,0,0.3112,0.4487,0.694,0.7553,0.5339,0.7023,1.6631,0.8299,2.2917,0.8369,0.5585
"AAK1;GN=_AP2-associated protein kinase 1;Isoform of Q2M2I8, Isoform 2 of AP2-associated protein kinase 1",2.6952,1.8876,2.5996,2.7107,1.2556,2.7396,1.9456,2.3747,1.782,2.2212,0.5259,0.0218,0.0035,2.1594,3.6695,3.0424,2.8743,3.6047,2.5297,4.8179,2.187,2.074,3.3624,4.2017,3.6973,1.63,2.7612,4.6521,3.3167,2.9312,1.5639,3.0598,0.9521,0.0626,4.1267,3.5215,3.7985,2.8479,7.0182,3.5726,4.1727,5.2544,3.3595,2.4916,2.8577,4.1009,3.7119,1.3009,4.4566,5.0226,3.9803,1.4383,3.724,1.3356
"AAK1_Isoform of Q2M2I8, AP2-associated protein kinase 1",1.4625,1.0963,0,0,0,0,0.7799,0,0,0.371,0.5821,0.3987,0.076,0,3.995,0,0,1.7518,1.4242,4.5275,0.5309,0,0,0,0,0,0,0,0,1.3901,0.5887,0.7893,1.3912,0.3517,2.853,2.2071,0,0,2.0962,3.4039,0,0,1.6721,0,0,1.5918,0,1.6872,2.9826,2.9994,0,0.4049,1.2166,1.2967
AAMDC_Mth938 domain-containing protein,267.4779,592.2563,667.8836,577.2705,533.6648,877.593,448.6886,807.6185,653.4418,602.8772,182.3445,0.4711,0.629,612.5418,571.4947,1113.3206,600.5175,489.748,566.0575,775.6408,415.0961,848.0109,638.187,605.2392,808.7044,973.8466,475.6634,788.2246,458.1544,699.4329,432.3159,659.5665,193.1587,0.776,680.9231,345.4802,725.625,749.584,1020.7612,820.3144,903.0712,558.4972,437.9002,468.8924,617.7558,725.7369,920.4368,299.8876,635.0404,729.6737,646.5708,294.0742,643.3458,211.5711
AAMP_Angio-associated migratory cell protein,20.4592,11.1509,11.143,9.0381,11.4122,8.8735,11.8017,11.0156,8.7621,11.5174,3.5585,0.7963,0.7576,9.5617,9.9132,9.8769,8.6144,9.2613,13.8951,17.4245,12.6023,10.5124,9.9574,11.3875,13.3134,12.5369,11.5664,14.6403,15.1779,13.1204,9.3994,11.8201,2.4328,0.8986,13.329,10.2689,13.0021,9.3566,13.1318,15.5733,14.1946,7.4907,10.401,9.5076,9.348,12.1753,14.3316,7.2237,15.9883,15.4678,11.6497,11.7559,11.8998,2.7004
AAR2_Protein AAR2 homolog,4.3811,3.0452,2.3703,2.5066,3.1482,3.553,2.8744,3.1261,3.3513,3.1507,0.5946,0.5394,0.7752,2.3792,2.3438,3.0194,2.2979,2.2744,2.6434,5.328,2.601,2.7568,2.7545,3.2918,2.3046,3.3744,2.3736,4.4203,3.4611,3.4123,2.1777,2.9563,0.8333,0.5469,3.95,2.5057,3.5868,2.6929,3.0713,4.2003,4.5606,1.6581,2.4568,2.4619,2.7869,2.1701,3.5375,1.7618,4.1333,3.6495,3.498,2.3581,3.0578,0.8648
